survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
1,3,0,18.63142857142857,0,0,7.75,2,1,0,False,2,1,True
1,3,1,24.782666666666664,2,0,23.25,2,2,0,True,2,0,False
1,2,1,34.305,0,0,12.35,0,2,1,False,0,0,True
0,3,0,31.065876522465345,0,0,8.05,3,0,2,True,3,1,True
1,1,1,31.601999999999997,0,0,110.8833,2,0,1,False,2,0,True
0,3,1,20.858166666666666,8,2,69.55,2,2,0,True,2,0,False
1,3,1,25.296,2,0,23.25,0,0,1,False,0,0,False
1,1,1,36.971333333333334,1,0,133.65,0,2,1,False,0,1,False
0,3,0,26.76198549694611,0,0,7.8958,2,1,2,True,2,1,True
1,3,1,24.857777777777777,1,0,16.1,2,2,1,False,2,0,False
0,1,0,55.52,0,0,35.0,2,2,2,True,2,1,True
0,3,1,35.571486111111106,0,0,7.225,2,2,1,True,2,0,True
1,3,1,20.651428571428568,0,0,7.8792,2,1,1,False,2,0,True
1,3,0,20.651428571428568,0,0,7.8792,2,2,2,False,2,0,True
0,3,1,35.90741666666667,1,0,15.5,2,1,1,True,2,0,False
1,3,1,18.000999999999998,0,0,7.2292,0,2,1,False,0,0,True
1,3,1,18.63142857142857,0,0,7.75,2,2,1,False,2,1,True
1,1,1,39.473333333333336,1,0,82.1708,2,2,1,False,2,0,False
0,3,1,26.76198549694611,0,0,7.8958,2,2,1,True,2,0,True
0,3,1,30.169083333333333,0,0,7.7292,2,2,1,True,2,0,True
0,3,1,26.63,3,1,25.4667,2,1,0,False,2,1,False
0,3,0,26.76198549694611,0,0,7.8958,2,2,2,True,2,1,True
0,3,1,24.028059523809524,0,0,6.8583,2,2,1,True,2,0,True
0,2,1,34.656459437621194,0,0,0.0,2,2,1,True,2,1,True
0,3,0,29.420724222123344,0,0,8.05,1,2,2,False,1,1,True
0,3,1,33.556181692920084,0,0,7.8958,2,0,1,True,2,0,True
0,3,0,31.996284812409804,0,0,7.25,2,1,2,True,2,1,True
0,3,0,48.25650595238094,0,0,7.75,2,2,2,True,2,1,True
1,3,1,24.857777777777777,1,0,16.1,2,2,1,False,2,0,False
1,3,1,23.112091630591625,0,0,8.1125,2,2,1,True,2,0,True
0,3,0,24.835333333333338,1,0,19.9667,2,0,2,True,2,1,False
0,3,1,31.065876522465345,0,0,8.05,2,2,1,True,2,0,True
1,1,1,38.22933333333333,1,0,51.8625,2,2,1,False,2,0,False
0,3,1,48.25650595238094,0,0,7.75,2,2,1,True,2,0,True
0,3,1,31.065876522465345,0,0,8.05,2,0,1,True,2,0,True
0,2,1,34.656459437621194,0,0,0.0,2,2,1,True,2,0,True
0,3,1,30.169083333333333,0,0,7.725,2,2,1,True,2,0,True
0,3,1,31.996284812409804,0,0,7.25,2,2,1,True,2,0,True
0,1,1,47.13,0,0,52.0,0,0,1,True,0,0,True
0,2,1,34.656459437621194,0,0,0.0,0,0,1,True,0,1,True
0,3,0,26.63,3,1,25.4667,2,1,2,False,2,1,False
0,3,1,24.835333333333338,1,0,19.9667,2,1,1,True,2,0,False
0,3,0,23.082333333333334,0,0,14.4583,2,2,2,True,2,0,True
0,3,1,26.63047619047619,0,0,15.1,2,2,1,True,2,0,True
0,3,1,23.518125,0,0,7.6292,2,0,1,False,2,0,True
1,1,1,40.09880555555556,0,0,26.55,2,2,1,True,2,0,True
0,3,1,31.065876522465345,0,0,8.05,2,2,1,True,2,0,True
0,3,1,34.954232142857144,0,0,24.15,2,2,1,True,2,0,True
0,3,0,35.571486111111106,0,0,7.225,2,2,2,True,2,1,True
0,3,1,26.966916666666663,0,0,7.2292,2,2,1,True,2,1,True
0,1,1,27.47,0,0,221.7792,2,2,1,True,2,0,True
0,3,0,26.966916666666663,0,0,7.2292,1,2,2,True,1,1,True
1,3,1,28.0,0,2,22.3583,2,0,1,False,2,0,False
0,3,0,23.780476190476193,0,0,14.5,0,2,0,True,0,0,True
1,2,1,29.70866666666667,0,0,13.8625,2,2,1,True,2,0,True
0,3,0,37.26078571428572,0,0,7.8292,2,2,2,True,2,0,True
0,1,0,26.546999999999997,0,0,227.525,0,2,2,True,0,0,True
0,3,1,48.25650595238094,0,0,7.75,2,2,1,True,2,0,True
0,3,1,31.065876522465345,0,0,8.05,1,2,1,True,1,0,True
0,3,1,29.420724222123344,0,0,8.05,2,1,1,False,2,0,True
0,3,1,26.966916666666663,0,0,7.2292,0,0,1,True,0,0,True
1,3,0,18.63142857142857,0,0,7.75,2,2,0,False,2,0,True
0,3,1,27.618833333333342,1,0,14.4583,2,1,1,False,2,0,False
0,3,1,32.55166666666667,0,0,8.7125,2,2,1,True,2,0,True
0,3,1,31.065876522465345,0,0,8.05,0,1,1,True,0,0,True
0,3,0,27.513375,0,2,7.75,2,1,2,False,2,1,False
1,2,1,33.667725468975476,0,0,33.0,2,0,1,False,2,0,True
0,3,1,35.571486111111106,0,0,7.225,0,2,0,True,0,1,True
0,3,1,26.76198549694611,0,0,7.8958,1,2,1,True,1,0,True
0,1,1,43.55,0,0,42.4,2,2,1,True,2,1,True
0,3,0,26.587285714285713,0,0,7.05,0,2,2,True,0,1,True
1,3,1,28.552777777777777,1,0,15.5,2,2,1,False,2,0,False
0,3,1,48.25650595238094,0,0,7.75,0,2,1,True,0,0,True
0,3,1,30.169083333333333,0,0,7.7333,2,2,1,True,2,0,True
0,1,0,41.999,0,0,0.0,2,2,2,True,2,0,True
0,3,0,26.988000000000003,1,0,16.1,2,1,2,True,2,1,False
1,3,1,29.31457142857143,0,0,56.4958,2,1,1,True,2,0,True
0,3,1,35.71033333333333,0,0,7.55,0,1,1,True,0,0,True
0,3,0,26.76198549694611,0,0,7.8958,2,0,2,True,2,1,True
1,3,1,20.921428571428567,0,0,7.8292,2,0,1,False,2,0,True
0,3,1,26.76198549694611,0,0,7.8958,2,2,1,True,2,0,True
0,3,1,29.138847832722835,0,0,7.775,0,0,1,True,0,0,True
1,1,0,38.22933333333333,1,0,52.0,0,2,2,False,0,0,False
0,2,0,34.656459437621194,0,0,0.0,2,2,2,True,2,1,True
0,3,0,25.328114406426906,0,0,8.1375,2,2,2,False,2,1,True
1,3,1,29.31457142857143,0,0,56.4958,1,2,1,True,1,0,True
1,3,1,16.875999999999998,0,0,7.7333,2,1,1,False,2,0,True
1,3,1,25.849,1,1,15.2458,2,1,1,True,2,0,False
0,1,1,57.97458028083025,0,0,26.55,2,2,1,True,2,1,True
0,3,0,30.42173214285714,0,0,15.5,2,2,0,True,2,0,True
1,3,1,16.875999999999998,0,0,7.7375,2,1,1,False,2,0,True
0,2,1,34.656459437621194,0,0,0.0,2,1,1,True,2,0,True
0,3,1,26.76198549694611,0,0,7.8958,2,1,1,True,2,0,True
0,3,0,26.76198549694611,0,0,7.8958,2,0,2,True,2,1,True
1,1,1,64.9625,0,0,30.0,2,2,1,True,2,0,True
0,3,1,23.780476190476193,0,0,14.5,2,2,1,True,2,0,True
0,1,1,45.39,0,0,39.6,2,2,1,True,2,0,True
0,3,1,34.30619444444445,1,0,24.15,0,0,1,True,0,0,False
0,3,0,35.571486111111106,0,0,7.225,1,2,2,True,1,1,True
0,3,1,48.25650595238094,0,0,7.75,2,2,1,True,2,0,True
0,3,1,30.169083333333333,0,0,7.7375,2,2,1,True,2,0,True
0,3,1,34.02,1,2,23.45,2,2,1,True,2,0,False
0,3,1,48.25650595238094,0,0,7.75,2,2,1,True,2,0,True
0,3,0,26.243166666666667,8,2,69.55,2,1,2,False,2,1,False
0,1,1,54.35,0,0,30.6958,2,2,1,True,2,0,True
0,1,1,41.999,0,0,0.0,2,2,1,True,2,0,True
0,3,1,25.02884523809524,0,0,6.95,2,2,0,True,2,0,True
0,3,1,30.977249999999998,0,0,56.4958,2,2,0,True,2,1,True
1,3,0,29.83383333333333,0,0,7.75,2,0,2,True,2,1,True
0,3,0,26.966916666666663,0,0,7.2292,2,2,2,True,2,0,True
0,3,1,31.065876522465345,0,0,8.05,2,0,1,True,2,0,True
1,1,1,36.72,0,0,29.7,2,2,1,True,2,0,True
0,3,1,20.858166666666666,8,2,69.55,2,0,1,True,2,0,False
1,1,1,37.63666666666666,1,0,89.1042,1,2,0,False,1,0,False
0,3,0,26.966916666666663,0,0,7.2292,2,2,0,True,2,1,True
0,3,1,26.243166666666667,8,2,69.55,2,2,1,False,2,0,False
0,3,1,24.816926406926406,0,0,9.5,0,0,1,True,0,0,True
0,3,1,26.76198549694611,0,0,7.8958,2,2,1,True,2,0,True
0,3,1,32.61,1,2,23.45,2,2,1,False,2,0,False
0,3,0,22.0,1,0,7.25,0,0,2,True,0,0,False
1,1,1,38.0,1,0,71.2833,2,1,1,False,2,0,False
1,3,1,26.0,0,0,7.925,2,2,1,False,2,0,True
1,1,0,35.0,1,0,53.1,2,2,2,False,2,0,False
0,3,1,35.0,0,0,8.05,0,1,1,True,0,0,True
0,1,1,54.0,0,0,51.8625,2,2,0,True,2,0,True
0,3,1,2.0,3,1,21.075,2,1,0,False,2,1,False
1,3,0,27.0,0,2,11.1333,2,2,0,False,2,1,False
1,2,1,14.0,1,0,30.0708,2,0,1,False,2,0,False
1,3,0,4.0,1,1,16.7,1,2,2,False,1,1,False
1,1,1,58.0,0,0,26.55,2,0,1,False,2,1,True
0,3,1,20.0,0,0,8.05,1,2,1,True,1,0,True
0,3,1,39.0,1,5,31.275,2,2,1,True,2,0,False
0,3,0,14.0,0,0,7.8542,2,1,2,False,2,1,True
1,2,1,55.0,0,0,16.0,2,1,1,False,2,0,True
0,3,0,2.0,4,1,29.125,2,2,2,False,2,1,False
0,3,1,31.0,1,0,18.0,2,1,0,False,2,1,False
0,2,0,35.0,0,0,26.0,0,0,2,True,0,1,True
1,2,0,34.0,0,0,13.0,0,0,2,True,0,1,True
1,3,1,15.0,0,0,8.0292,1,2,1,False,1,0,True
1,1,1,28.0,0,0,35.5,2,2,1,True,2,0,True
0,3,0,8.0,3,1,21.075,1,2,2,False,1,1,False
1,3,0,38.0,1,5,31.3875,2,1,2,False,2,0,False
0,1,1,19.0,3,2,263.0,2,2,1,True,2,0,False
0,1,1,40.0,0,0,27.7208,2,2,1,True,2,0,True
0,2,1,66.0,0,0,10.5,2,2,1,True,2,0,True
0,1,1,28.0,1,0,82.1708,0,2,1,True,0,0,False
0,1,1,42.0,1,0,52.0,2,2,1,True,2,1,False
0,3,0,21.0,0,0,8.05,2,2,0,True,2,0,True
0,3,1,18.0,2,0,18.0,2,2,1,False,2,0,False
1,3,1,14.0,1,0,11.2417,0,2,1,False,0,1,False
0,3,0,40.0,1,0,9.475,1,2,2,False,1,1,False
0,2,1,27.0,1,0,21.0,0,0,1,False,0,1,False
1,2,1,3.0,1,2,41.5792,2,2,1,False,2,0,False
1,3,0,19.0,0,0,7.8792,2,1,2,False,2,1,True
0,3,1,18.0,1,0,17.8,2,2,1,False,2,0,False
0,3,1,7.0,4,1,39.6875,2,1,1,False,2,0,False
0,3,1,21.0,0,0,7.8,1,2,1,True,1,0,True
1,1,0,49.0,1,0,76.7292,0,0,2,False,0,1,False
1,2,0,29.0,1,0,26.0,2,2,2,False,2,1,False
0,1,1,65.0,0,1,61.9792,2,1,1,True,2,0,False
1,2,0,21.0,0,0,10.5,0,0,2,False,0,1,True
0,3,1,28.5,0,0,7.2292,2,1,1,True,2,0,True
1,2,1,5.0,1,2,27.75,2,2,1,False,2,1,False
0,3,1,11.0,5,2,46.9,2,1,1,False,2,0,False
0,3,1,22.0,0,0,7.2292,2,2,1,True,2,0,True
1,1,1,38.0,0,0,80.0,2,2,1,False,2,0,True
0,1,1,45.0,1,0,83.475,2,0,1,True,2,1,False
0,3,1,4.0,3,2,27.9,2,2,1,False,2,0,False
1,2,1,29.0,0,0,10.5,2,1,1,False,2,1,True
0,3,1,19.0,0,0,8.1583,2,2,1,True,2,0,True
1,3,1,17.0,4,2,7.925,2,1,1,False,2,0,False
0,3,0,26.0,2,0,8.6625,2,2,2,True,2,0,False
0,2,0,32.0,0,0,10.5,2,0,2,True,2,1,True
0,3,1,16.0,5,2,46.9,2,2,1,False,2,0,False
0,2,1,21.0,0,0,73.5,2,1,1,True,2,0,True
0,3,0,26.0,1,0,14.4542,2,2,0,True,2,1,False
1,3,1,32.0,0,0,56.4958,2,1,1,True,2,0,True
0,3,0,25.0,0,0,7.65,2,2,2,True,2,0,True
1,2,1,0.83,0,2,29.0,2,1,1,False,2,0,False
1,3,0,30.0,0,0,12.475,2,1,0,False,2,1,True
0,3,1,22.0,0,0,9.0,2,1,1,True,2,0,True
1,3,1,29.0,0,0,9.5,2,1,1,True,2,0,True
0,1,0,28.0,0,0,47.1,0,2,2,True,0,0,True
1,2,0,17.0,0,0,10.5,1,2,2,False,1,1,True
1,3,1,33.0,3,0,15.85,2,1,1,False,2,0,False
0,3,1,16.0,1,3,34.375,2,2,1,True,2,0,False
1,1,1,23.0,3,2,263.0,0,2,1,False,0,0,False
0,3,1,24.0,0,0,8.05,1,0,1,True,1,0,True
0,3,0,29.0,0,0,8.05,2,2,2,True,2,0,True
0,3,0,20.0,0,0,7.8542,2,1,2,True,2,1,True
0,1,1,46.0,1,0,61.175,2,0,1,True,2,1,False
0,3,1,26.0,1,2,20.575,2,1,1,True,2,0,False
0,3,1,59.0,0,0,7.25,2,2,1,True,2,0,True
0,1,0,71.0,0,0,34.6542,2,2,2,True,2,0,True
1,1,1,23.0,0,1,63.3583,2,0,1,True,2,0,False
1,2,1,34.0,0,1,23.0,2,2,1,False,2,0,False
0,2,0,34.0,1,0,26.0,2,2,2,True,2,0,False
0,3,0,28.0,0,0,7.8958,0,2,2,False,0,1,True
0,1,0,21.0,0,1,77.2875,0,0,2,True,0,1,False
0,3,0,33.0,0,0,8.6542,2,0,2,True,2,1,True
0,3,0,37.0,2,0,7.925,0,0,2,True,0,1,False
0,3,0,28.0,0,0,7.8958,2,1,2,True,2,1,True
1,3,1,21.0,0,0,7.65,1,2,1,False,1,0,True
0,3,1,38.0,0,0,7.8958,2,2,0,True,2,1,True
0,1,1,47.0,0,0,52.0,2,0,1,True,2,0,True
0,3,1,14.5,1,0,14.4542,2,0,1,False,2,0,False
0,3,0,22.0,0,0,8.05,1,2,2,True,1,0,True
0,3,1,20.0,1,0,9.825,2,1,1,False,2,0,False
0,3,1,17.0,0,0,14.4583,2,2,1,False,2,0,True
0,3,1,21.0,0,0,7.925,2,2,1,True,2,1,True
0,3,0,70.5,0,0,7.75,2,0,2,True,2,1,True
0,2,0,29.0,1,0,21.0,2,0,2,True,2,1,False
0,1,1,24.0,0,1,247.5208,2,0,1,True,2,0,False
0,3,1,2.0,4,2,31.275,2,2,1,False,2,1,False
0,2,0,21.0,2,0,73.5,2,1,2,True,2,1,False
0,2,1,32.5,1,0,30.0708,0,0,1,True,0,0,False
1,2,0,32.5,0,0,13.0,1,2,2,False,1,1,True
0,1,0,54.0,0,1,77.2875,2,0,2,True,2,1,False
1,3,0,12.0,1,0,11.2417,2,2,2,False,2,0,False
1,3,1,24.0,0,0,7.1417,2,1,1,True,2,0,True
0,3,1,45.0,0,0,6.975,1,2,0,True,1,0,True
0,3,0,33.0,0,0,7.8958,2,2,2,True,2,1,True
0,3,1,20.0,0,0,7.05,1,2,1,True,1,0,True
0,3,1,47.0,1,0,14.5,2,2,1,False,2,0,False
1,2,1,29.0,1,0,26.0,2,2,1,False,2,0,False
0,2,1,25.0,0,0,13.0,2,2,1,True,2,1,True
0,2,1,23.0,0,0,15.0458,2,0,1,True,2,0,True
1,1,1,19.0,0,2,26.2833,0,2,1,False,0,0,False
0,1,1,37.0,1,0,53.1,2,2,1,True,2,1,False
0,3,1,16.0,0,0,9.2167,2,2,1,True,2,0,True
0,1,1,24.0,0,0,79.2,2,1,1,True,2,1,True
1,3,0,22.0,0,0,7.75,1,2,2,False,1,1,True
1,3,0,24.0,1,0,15.85,2,0,2,False,2,1,False
0,3,0,19.0,0,0,6.75,0,0,2,True,0,1,True
0,2,1,18.0,0,0,11.5,0,1,1,True,0,0,True
0,2,0,19.0,1,1,36.75,2,2,2,True,2,0,False
1,3,1,27.0,0,0,7.7958,2,2,1,True,2,0,True
0,3,1,9.0,2,2,34.375,0,0,1,False,0,0,False
0,2,1,36.5,0,2,26.0,0,2,1,True,0,0,False
0,2,0,42.0,0,0,13.0,2,0,0,True,2,0,True
0,2,1,51.0,0,0,12.525,2,0,1,True,2,1,True
1,1,0,22.0,1,0,66.6,0,0,2,False,0,1,False
0,3,0,55.5,0,0,8.05,1,2,2,True,1,1,True
0,3,1,40.5,0,2,14.5,1,2,1,True,1,1,False
0,1,1,51.0,0,1,61.3792,2,2,1,True,2,0,False
1,3,0,16.0,0,0,7.7333,1,1,2,False,1,1,True
0,3,1,30.0,0,0,8.05,2,2,1,True,2,0,True
0,3,1,44.0,0,1,16.1,2,0,0,True,2,1,False
1,2,0,40.0,0,0,15.75,0,0,2,False,0,1,True
0,3,0,26.0,0,0,7.775,0,0,2,True,0,1,True
0,3,1,17.0,0,0,8.6625,0,1,1,True,0,0,True
0,3,0,1.0,4,1,39.6875,0,0,2,False,0,1,False
1,3,0,9.0,0,2,20.525,0,0,2,False,0,1,False
0,3,0,45.0,1,4,27.9,0,0,2,False,0,1,False
0,3,0,28.0,0,0,56.4958,2,1,2,True,2,0,True
0,1,1,61.0,0,0,33.5,2,2,1,True,2,0,True
0,3,1,4.0,4,1,29.125,2,1,1,False,2,0,False
1,3,0,1.0,1,1,11.1333,2,2,2,False,2,1,False
0,3,0,21.0,0,0,7.925,2,1,2,True,2,1,True
0,1,1,56.0,0,0,30.6958,2,1,1,True,2,0,True
0,3,0,18.0,1,1,7.8542,2,0,2,True,2,1,False
0,1,0,50.0,0,0,28.7125,0,0,2,False,0,1,True
0,2,1,30.0,0,0,13.0,2,2,1,True,2,0,True
0,3,1,36.0,0,0,0.0,2,2,1,True,2,0,True
0,3,0,9.0,4,2,31.3875,1,1,2,False,1,1,False
1,2,0,1.0,2,1,39.0,2,1,2,False,2,1,False
1,3,1,4.0,0,2,22.025,2,2,1,False,2,0,False
1,1,0,45.0,0,0,26.55,0,0,2,True,0,1,True
0,3,1,40.0,1,1,15.5,2,2,1,True,2,0,False
0,3,0,36.0,0,0,7.8958,2,1,2,True,2,1,True
1,2,0,32.0,0,0,13.0,2,2,2,False,2,1,True
0,2,0,19.0,0,0,13.0,0,0,2,True,0,1,True
1,3,0,19.0,1,0,7.8542,1,2,2,False,1,1,False
1,2,1,3.0,1,1,26.0,2,0,1,False,2,0,False
1,1,1,44.0,0,0,27.7208,2,0,1,False,2,0,True
1,1,1,58.0,0,0,146.5208,2,2,1,False,2,0,True
0,3,0,42.0,0,1,8.4042,2,0,2,True,2,1,False
0,2,1,24.0,0,0,13.0,2,2,1,False,2,0,True
0,3,1,28.0,0,0,9.5,2,0,1,True,2,0,True
0,3,0,34.0,0,0,6.4958,0,0,2,True,0,1,True
0,3,1,45.5,0,0,7.225,2,2,1,True,2,1,True
1,3,1,18.0,0,0,8.05,2,0,1,True,2,0,True
0,3,1,2.0,0,1,10.4625,2,1,0,False,2,1,False
0,3,0,32.0,1,0,15.85,2,0,2,True,2,1,False
1,3,1,26.0,0,0,18.7875,2,1,1,True,2,0,True
1,3,1,16.0,0,0,7.75,2,1,1,False,2,0,True
1,1,1,40.0,0,0,31.0,2,1,1,True,2,0,True
0,3,0,24.0,0,0,7.05,2,1,2,True,2,1,True
1,2,0,35.0,0,0,21.0,2,1,2,False,2,1,True
0,3,0,22.0,0,0,7.25,2,2,2,True,2,1,True
0,2,1,30.0,0,0,13.0,2,2,0,True,2,1,True
1,1,1,31.0,1,0,113.275,2,2,1,False,2,0,False
1,3,1,27.0,0,0,7.925,2,2,1,False,2,0,True
0,2,1,42.0,1,0,27.0,2,0,1,True,2,0,False
1,1,1,32.0,0,0,76.2917,0,2,0,False,0,0,True
0,2,1,30.0,0,0,10.5,2,2,1,True,2,0,True
1,3,1,16.0,0,0,8.05,0,2,1,True,0,0,True
0,2,1,27.0,0,0,13.0,2,2,1,True,2,0,True
0,3,0,51.0,0,0,8.05,2,0,2,True,2,1,True
1,1,0,38.0,1,0,90.0,2,1,2,True,2,0,False
0,3,0,22.0,0,0,9.35,1,2,2,True,1,1,True
1,2,0,19.0,0,0,10.5,1,2,2,True,1,1,True
0,3,1,20.5,0,0,7.25,2,2,1,True,2,0,True
0,2,1,18.0,0,0,13.0,0,1,1,True,0,0,True
1,1,0,35.0,1,0,83.475,0,2,2,False,0,0,False
0,3,1,29.0,0,0,7.775,2,2,1,True,2,0,True
0,2,1,59.0,0,0,13.5,1,2,1,True,1,0,True
1,3,1,5.0,4,2,31.3875,2,2,1,False,2,0,False
0,2,0,24.0,0,0,10.5,0,0,2,True,0,1,True
0,2,0,44.0,1,0,26.0,0,2,2,True,0,1,False
1,2,0,8.0,0,2,26.25,1,2,2,False,1,1,False
0,2,0,19.0,0,0,10.5,0,0,2,True,0,1,True
0,2,1,33.0,0,0,12.275,0,0,1,True,0,1,True
0,2,1,29.0,0,0,10.5,2,2,1,True,2,0,True
0,3,1,22.0,0,0,7.125,2,2,1,True,2,0,True
0,3,1,30.0,0,0,7.225,0,0,1,True,0,0,True
0,1,0,44.0,2,0,90.0,2,2,0,True,2,0,False
0,3,0,25.0,0,0,7.775,0,0,2,False,0,1,True
1,2,0,24.0,0,2,14.5,2,2,2,False,2,1,False
1,1,1,37.0,1,1,52.5542,0,0,1,True,0,0,False
0,2,1,54.0,1,0,26.0,0,2,1,True,0,0,False
0,3,1,29.0,1,1,10.4625,2,2,1,False,2,0,False
0,1,0,62.0,0,0,26.55,0,0,2,True,0,1,True
0,3,0,30.0,1,0,16.1,0,2,0,True,0,1,False
0,3,1,41.0,0,2,20.2125,2,2,1,False,2,0,False
1,3,0,29.0,0,2,15.2458,2,0,2,False,2,1,False
1,1,1,30.0,0,0,86.5,2,2,1,False,2,0,True
1,1,1,35.0,0,0,512.3292,2,1,1,False,2,0,True
1,2,1,50.0,0,1,26.0,2,2,0,False,2,0,False
1,3,0,3.0,4,2,31.3875,2,1,2,False,2,1,False
0,1,1,52.0,1,1,79.65,1,2,1,True,1,0,False
0,1,0,40.0,0,0,0.0,0,1,2,True,0,1,True
0,2,1,36.0,0,0,10.5,2,0,1,True,2,1,True
0,3,1,16.0,4,1,39.6875,2,2,1,True,2,1,False
1,3,1,25.0,1,0,7.775,2,2,1,True,2,0,False
1,1,0,58.0,0,1,153.4625,0,0,2,False,0,1,False
1,1,0,35.0,0,0,135.6333,2,2,2,False,2,1,True
1,3,1,25.0,0,0,0.0,2,2,1,True,2,0,True
1,2,0,41.0,0,1,19.5,2,2,2,False,2,0,False
0,1,1,37.0,0,1,29.7,2,1,1,True,2,0,False
1,1,1,63.0,1,0,77.9583,2,1,1,False,2,0,False
0,3,0,45.0,0,0,7.75,2,1,2,False,2,1,True
0,3,1,7.0,4,1,29.125,2,2,1,False,2,1,False
1,3,1,35.0,1,1,20.25,2,2,1,False,2,0,False
0,3,0,65.0,0,0,7.75,2,2,2,True,2,0,True
0,3,1,28.0,0,0,7.8542,2,2,1,True,2,0,True
0,3,0,16.0,0,0,9.5,2,2,2,True,2,0,True
1,3,1,19.0,0,0,8.05,2,1,1,True,2,0,True
0,3,1,33.0,0,0,8.6625,2,2,1,True,2,0,True
1,3,1,30.0,0,0,9.5,2,1,0,True,2,1,True
0,3,1,22.0,0,0,7.8958,2,2,1,True,2,0,True
1,2,0,42.0,0,0,13.0,2,2,2,True,2,0,True
1,3,1,22.0,0,0,7.75,2,2,1,False,2,0,True
